RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,22085613,Customer_0,351,Germany,Female,69,0,0.0,1,0,1,198096.84,1
2,18095425,Customer_1,825,France,Female,60,3,0.0,1,1,1,66296.6,1
3,61301890,Customer_2,588,Germany,Male,29,7,56570.27,1,0,1,183184.68,0
4,76981884,Customer_3,845,Spain,Male,74,4,110014.33,2,1,0,180765.6,0
5,23743289,Customer_4,528,France,Male,74,1,164808.92,1,0,0,172460.17,1
6,66180011,Customer_5,759,Germany,Male,20,10,240315.94,2,0,1,40126.48,0
7,36776830,Customer_6,482,Germany,Male,19,2,16035.38,2,0,1,135352.44,0
8,85689125,Customer_7,544,Germany,Female,31,0,56185.53,1,0,0,82179.89,1
9,69984644,Customer_8,491,France,Male,63,4,56305.91,2,1,0,99834.81,1
10,50787793,Customer_9,601,France,Male,52,1,0.0,1,0,1,39285.62,1
11,56958328,Customer_10,423,France,Female,47,6,138228.1,1,0,1,195672.29,1
12,62017044,Customer_11,577,Germany,Male,41,4,187970.41,1,0,0,60461.95,1
13,41887510,Customer_12,762,Spain,Male,45,10,0.0,1,0,0,173118.46,0
14,72586310,Customer_13,385,Germany,Male,54,1,118771.2,2,1,0,21445.09,1
15,89621302,Customer_14,736,France,Female,21,2,243463.0,2,0,1,160540.87,0
16,59916239,Customer_15,770,France,Male,51,7,0.0,2,0,0,161396.42,1
17,42462872,Customer_16,319,Spain,Female,30,7,0.0,2,0,1,59578.99,0
18,90317702,Customer_17,672,France,Female,62,3,0.0,2,1,1,117815.26,1
19,30402828,Customer_18,567,Germany,Male,29,10,65878.09,2,1,0,66557.8,1
20,47671254,Customer_19,651,Spain,Female,22,9,0.0,2,0,0,50017.75,1
21,12686594,Customer_20,462,Germany,Male,42,6,0.0,2,1,1,127464.64,0
22,67873798,Customer_21,421,France,Male,43,8,0.0,1,1,1,147813.78,0
23,50777310,Customer_22,458,Germany,Male,47,5,248892.74,2,1,0,145396.03,1
24,82391979,Customer_23,384,Germany,Female,67,5,156157.96,1,1,1,169310.34,1
25,10141432,Customer_24,523,Germany,Male,57,6,247413.62,1,0,0,145895.76,1
26,69681080,Customer_25,781,France,Male,38,9,0.0,2,0,0,82665.13,0
